ID;Code No;Name;Z;Density;Atomic wght;valel s+p,n;valel s+p,n+1;s+p, n+n+1;valel d;valel f;Energy gap 300 K;Melting point, C
1;1;H;1;0.071;1.00797;0;1;1;0;0;0;-259.2
2;2;He;2;0.126;4.0026;0;2;2;0;0;0;-269.7
3;3;Li;3;0.53;6.939;2;1;3;0;0;0;180.5
4;4;Be;4;1.85;9.0122;0;2;2;0;0;0;1277
5;5;B;5;2.34;10.811;0;3;3;0;0;0;2030
6;6;C;6;2.26;12.01115;0;4;4;0;0;5.4;3727
7;7;N;7;0.81;14.0067;0;5;5;0;0;0;-210
8;8;O;8;1.14;15.9994;0;6;6;0;0;0;-218.8
9;9;F;9;1.505;18.9984;0;7;7;0;0;0;-219.6
10;10;Ne;10;1.2;20.183;0;8;8;0;0;0;-248.6
11;11;Na;11;0.97;22.9898;8;1;9;0;0;0;97.8
12;12;Mg;12;1.74;24.312;8;2;10;0;0;0;650
13;13;Al;13;2.7;26.9815;0;0;9;0;3;0;660
14;14;Si;14;2.33;28.086;6;4;10;0;0;1.12;1410
15;15;P;15;1.82;30.9738;0;5;5;0;0;0;44.2
16;16;S;16;2.07;32.064;0;6;6;0;0;0;119
17;17;Cl;17;1.56;35.453;0;7;7;0;0;0;-101
18;18;Ar;18;1.4;39.948;0;8;8;0;0;0;-189.4
19;19;K;19;0.86;39.102;8;1;9;0;0;0;63.7
20;20;Ca;20;1.55;40.08;8;2;10;0;0;0;838
21;21;Sc;21;3;44.956;8;2;10;1;0;0;1539
22;22;Ti;22;4.51;47.9;8;2;10;2;0;0;1668
23;23;V;23;6.1;50.942;8;2;10;3;0;0;1900
24;24;Cr;24;7.19;51.996;8;1;9;5;0;0;1875
25;25;Mn;25;7.43;54.938;8;2;10;5;0;0;1245
26;26;Fe;26;7.86;55.847;8;2;10;6;0;0;1536
27;27;Co;27;8.9;58.933;8;2;10;7;0;0;1495
28;28;Ni;28;8.9;58.71;6;2;8;8;0;0;1453
29;29;Cu;29;8.96;63.54;6;1;7;10;0;0;1083
30;30;Zn;30;7.14;65.37;6;8;8;4;0;0;419.5
31;31;Ga;31;5.91;69.72;10;3;3;0;0;0;29.8
32;32;Ge;32;5.32;72.59;10;4;4;0;0;0.67;937.4
33;33;As;33;5.72;74.922;10;5;5;0;0;0;817
34;34;Se;34;4.79;78.96;10;6;6;0;0;0;217
35;35;Br;35;3.12;79.909;10;7;7;0;0;0;-7.2
36;36;Kr;36;2.6;83.8;10;8;8;0;0;0;-157.3
37;37;Rb;37;1.53;85.47;8;1;9;0;0;0;38.9
38;38;Sr;38;2.6;87.62;8;2;10;0;0;0;768
39;39;Y;39;4.47;88.905;8;2;10;1;0;0;1509
40;40;Zr;40;6.49;91.22;8;2;10;2;0;0;1852
41;41;Nb;41;8.4;92.906;8;1;9;4;0;0;2468
42;42;Mo;42;10.2;95.94;8;1;9;5;0;0;2610
43;43;Tc;43;11.5;98;8;2;10;5;0;0;2140
44;44;Ru;44;12.2;101.07;8;1;9;7;0;0;2500
45;45;Rh;45;12.4;102.905;8;1;9;8;0;0;1966
46;46;Pd;46;12;106.4;8;0;8;10;0;0;1552
47;47;Ag;47;10.5;107.87;8;1;9;10;0;0;960.8
48;48;Cd;48;8.65;112.4;6;2;8;10;0;0;320.9
49;49;In;49;7.31;114.82;16;3;9;0;0;0;156.2
50;50;Sn;50;7.3;118.69;16;4;10;0;0;0;231.9
51;51;Sb;51;6.62;121.75;16;5;11;0;0;0;630.5
52;52;Te;52;6.24;127.6;10;6;6;0;0;0;449.5
53;53;I;53;4.94;126.904;10;7;7;0;0;0;113.7
54;54;Xe;54;3.06;131.3;10;8;8;0;0;0;-111.9
55;55;Cs;55;1.9;132.905;18;1;9;0;0;0;28.7
56;56;Ba;56;3.5;137.34;8;2;10;0;0;0;714
57;57;La;57;6.17;138.91;8;2;10;1;0;0;920
58;58;Ce;58;6.67;140.12;8;2;10;0;7;0;795
59;59;Pr;59;6.77;140.907;8;2;10;0;7;0;935
60;60;Nd;60;7;144.24;8;2;10;0;7;0;1024
61;61;Pm;61;;147;8;2;10;0;5;0;1027
62;62;Sm;62;7.54;150.35;8;2;10;0;6;0;1072
63;63;Eu;63;5.26;151.96;8;2;10;0;7;0;826
64;64;Gd;64;7.89;157.25;8;2;10;1;6;0;1312
65;65;Tb;65;8.27;158.924;8;2;10;0;7;0;1356
66;66;Dy;66;8.54;162.5;8;2;10;0;7;0;1407
67;67;Ho;67;8.8;164.93;8;2;10;0;7;0;1461
68;68;Er;68;9.05;167.26;8;2;10;0;7;0;1497
69;69;Tm;69;9.33;168.934;8;2;10;0;7;0;1545
70;70;Yb;70;6.98;173.04;8;2;10;0;6;0;824
71;71;Lu;71;9.84;174.97;8;2;10;1;6;0;1652
72;72;Hf;72;13.1;178.49;7;2;10;2;0;0;2222
73;73;Ta;73;16.6;180.948;8;2;10;3;0;0;2996
74;74;W;74;19.3;183.85;7;2;10;4;0;0;3410
75;75;Re;75;21;186.2;8;2;10;5;0;0;3180
76;76;Os;76;22.6;190.2;8;2;10;6;0;0;3000
77;77;Ir;77;22.5;192.2;6;2;8;7;0;0;2454
78;78;Pt;78;21.4;195.09;6;1;7;9;0;0;1769
79;79;Au;79;19.3;196.967;6;1;7;10;0;0;1063
80;80;Hg;80;13.6;200.59;6;2;8;10;0;0;-38.4
81;81;Tl;81;11.85;204.37;6;3;9;10;0;0;303
82;82;Pb;82;11.4;207.19;0;4;4;0;0;0;327.4
83;83;Bi;83;9.8;208.98;0;5;5;0;0;0;271.3
84;84;Po;84;9.2;210;;6;6;10;14;0;254
85;85;At;85;;210;;7;7;10;14;0;302
86;86;Rn;86;;222;;8;8;10;14;0;-71
87;87;Fr;87;;223;;1;1;0;0;0;27
88;88;Ra;88;5;226;;2;2;0;0;0;700
89;89;Ac;89;;227;;2;2;1;0;0;1050
90;90;Th;90;11.7;232.038;8;2;10;2;0;0;1750
91;91;Pa;91;15.4;231;;2;2;1;0;0;1230
92;92;U;92;19.07;238.03;8;2;10;1;0;0;1132
93;93;Np;93;19.5;237;;2;2;1;4;0;637
94;94;Pu;94;;242;;2;2;0;6;0;640
95;95;Am;95;11.7;243;;2;2;0;7;0;
96;96;Cm;96;;247;;2;2;1;7;0;
97;97;Bk;97;;247;;2;2;0;9;0;
98;98;Cf;98;;249;;2;2;0;10;0;
99;99;Es;99;;254;;2;2;0;11;0;
100;100;Fm;100;;253;;2;2;0;12;0;
101;101;Md;101;;256;;2;2;0;13;0;
102;102;No;102;;254;;2;2;0;14;0;
103;103;Lw;103;15.9994;15.9994;;2;2;1;14;0;
197;;Ba(C2H3O2)2;;2.47;255.43002;;48;;;48;0;
198;;Ba(BrO3)2.H2O;;3.99;411.16974;;60;;;;0;
199;;BaBr2.2H2O;;3.56;333.18868;;32;;;;0;
200;;BaBr2;;4.7;297.158;;16;;;;0;
201;;BaCO3;;4.43;197.34935;;24;;;;0;
202;;Ba(ClO3)2.H2O;;3.18;322.25774;;60;;;;0;
203;;BaCl2;;3.86;208.246;;16;;;;0;
109;;Al2O3;;3.99;101.961;;0;;;24;9;
204;;BaF2;;4.83;175.3368;;16;;;;0;
205;;BaH2;;4.21;139.35594;;4;;;;0;
206;;Ba(OH)2;;4.5;171.35474;;16;;;;0;
207;;Ba(IO3)2;;5;487.1444;;52;;;;0;
208;;BaI2;;4.92;391.148;;16;;;;0;
209;;Ba(NO3)2;;3.24;261.3498;;48;;;;0;
210;;Ba(NO2)2;;3.23;229.351;;36;;;;0;
211;;BaO;;5.7;153.3394;;8;;;;0;
212;;BaO2;;4.96;169.3388;;14;;;;0;
213;;BaSO4;;4.48;233.4016;;32;;;;0;
214;;BaS;;4.25;169.404;;8;;;;0;
215;;BeBr2;;3.47;168.8302;;16;;;;0;
216;;BeCl2;;1.9;79.9182;;16;;;;0;
217;;BeF2;;1.99;47.009;;16;;;;0;
218;;BeO;;3.01;25.0116;;8;;;;0;
219;;BiBr3;;5.7;448.707;;26;;;;0;
220;;BiCl3;;4.7;315.339;;26;;;;0;
221;;BiF3;;5.32;265.9752;;26;;;;0;
222;;BiI3;;5.7;589.692;;26;;;;0;
223;;Bi2O3;;8.55;465.9582;;28;;;;0;
224;;BiOCl;;7.72;260.4324;;18;;;;0;
225;;BCl3;;1.43;117.17;;24;;;;0;
226;;BF3;;0.00299;67.8062;;24;;;;0;
227;;B2H6;;0.45;27.66982;;12;;;;0;
228;;B4H10;;0.591;53.3237;;22;;;;0;
229;;BN;;2.3;24.8177;;8;;;;0;
230;;B2O3;;1.84;69.6202;;24;;;;0;
231;;H3BO3;;1.44;61.83311;;24;;;;0;
232;;Cd(C2H3O2)2;;2.34;230.49002;;48;;10;;0;
455;;Polyethylene (CH2CH2)n;;1;28.054;;;;;12;7;
456;;Polypropylene (CH2CHCH3)n;;0.936;42.081;;;;;18;0;
457;;Polystyrene (CH2CHC6H5)n;;1.126;104.15;;;;;13.97;4.5;
458;;(CH2CF2)n-alpha;;1.924;64.035;;;;;24;0;
459;;(CH2CF2)n-beta;;2.001;54.035;;;;;24;0;
105;;In2O3;;7.18;277.638;;24;;;;0;
460;;(CH2CF2)n-gamma;;1.9929;64.035;;;;;24;0;
461;;(CH2CF2)n-delta;;1.924;64.035;;;;;24;0;
462;;(CF2)n;;2.302;50.008;;;;;18;0;
463;;trans 1,4-Polybutadiene - (CH2CH=CHCH2)n;;1.036;52.076;;;;;30;0;
464;;cis 1,4-Polybutadiene - (CH2CH=CHCH2)n;;1.01;52.076;;;;;30;0;
465;;(CH2O)n;;1.49;30.026;;;;;12;0;
466;;(CH2CH20)n;;1.228;44.054;;;;;18;0;
467;;((CH2)2OCOC6H4COO)n;;1.455;192.19;;;;;72;0;
468;;(CH2)6NHCO(CH2)4CONH)n;;1.24;374.44;;;;;86;0;
469;;C12H10;;1220;154.21;;;;;58;0;
470;;C2H5ON;;1.159;59.068;;;;;24;0;
471;;C8H9ON;;1.21;135.167;;;;;52;0;
472;;C2H4O2;;1.0492;60.053;;;;;24;0;
473;;C8H8O;;1.0329;120.15;;;;;46;0;
474;;C6H10O4;;1.366;146.14;;;;;58;0;
475;;C6H8NCl;;1.222;129.59;;;;;44;0;
476;;C14H10;;1.243;178.23;;;;;66;0;
477;;C14H8O;;1.419;192.22;;;;;70;0;
478;;C7H6O;;1.0504;106.13;;;;;40;0;
479;;C6H6;;0.879;78.115;;;;;30;0;
480;;C7H6O2;;1.2659;122.12;;;;;46;0;
481;;C14H10O3;;1.1989;226.23;;;;;84;0;
482;;C13H10O;;1.085;182.22;;;;;68;0;
483;;C14H120;;1.114;212.25;;;;;80;0;
484;;C10H18O;;1.01;154.25;;;;;64;0;
485;;C10H7Br;;1.4888;207.08;;;;;54;0;
486;;CHBr3;;2.9;252.75;;;;;26;0;
487;;C10H16;;0.879;136.24;;;;;56;0;
488;;C10H16O;;0.992;152.24;;;;;62;0;
489;;CBr4;;2.9109;331.65;;;;;32;0;
490;;C2H3O2Cl3;;1.9081;165.4;;;;;44;0;
491;;C2H3O2Cl;;1.39;94.498;;;;;30;0;
110;;Al2S3;;2.02;150.155;;24;;;;4.1;
492;;C27H46O;;1.067;370.67;;;;;160;0;
493;;C10H18O;;0.9267;154.26;;;;;64;0;
494;;C9H8O2;;1.247;148.16;;;;;56;0;
495;;C9H10O;;1.044;134.18;;;;;52;0;
496;;C6H8O7;;1.542;192.13;;;;;74;0;
497;;C7H8O;;1.051;108.14;;;;;42;0;
498;;C7H8O-m;;1.035;108.14;;;;;42;0;
499;;C7H8O-p;;1.035;108.14;;;;;42;0;
500;;C6H12;;0.7786;84163;;;;;36;0;
501;;C6H12O;;0.9624;100.16;;;;;42;0;
502;;C14H14;;0.995;182.27;;;;;70;0;
503;;C8H11N;;0.9557;121.18;;;;;48;0;
504;;C4H8O2;;1.0338;88.107;;;;;36;0;
505;;C12H10;;1.18;154.21;;;;;58;0;
506;;C12H11N;;1.159;169.23;;;;;64;0;
507;;C2H7ON;;1.022;61.084;;;;;26;0;
508;;C4H11O2N;;1.0966;105.14;;;;;44;0;
509;;C6H15O3N;;1.1242;149.19;;;;;62;0;
510;;C2H8N2;;0.902;60.099;;;;;26;0;
511;;C2H4Br2;;2.1785;187.87;;;;;26;0;
512;;C9H10O3;;1.131;166.18;;;;;64;0;
513;;C10H12O2;;1.062;164.21;;;;;64;0;
514;;CH3ON;;1.1334;45.041;;;;;18;0;
515;;CH2O2;;1.22;46.026;;;;;18;0;
516;;fructose - C6H12O6;;1.598;180.16;;;;;72;0;
517;;C4H4O4;;1.635;116.07;;;;;44;0;
518;;glucose - C6H12O6;;1.544;18016;;;;;72;0;
519;;C3H8O3;;1.2604;92.095;;;;;38;0;
520;;C51H98O6;;0.8752;807.35;;;;;338;0;
521;;C57H110O6;;0.8559;891.51;;;;;374;0;
522;;C7H8O2;;1.1287;12.414;;;;;48;0;
523;;C2Cl6;;2.091;236.74;;;;;50;0;
524;;C9H9O3N;;1.371;175.19;;;;;68;0;
111;;CuCl;;3.53;98.993;;8;;10;;3.17;
525;;C6H6O2;;1.358;110.11;;;;;42;0;
526;;CHI3;;4.008;393.73;;;;;12;0;
527;;C9H7N;;1.099;129.16;;;;;48;0;
528;;C3H6O3;;1.2485;90.079;;;;;36;0;
529;;C4H4O4;;1.592;116.07;;;;;44;0;
530;;C4H2O3;;0.934;98.059;;;;;36;0;
531;;C3H4O4;;1.631;104.06;;;;;40;0;
532;;C10H20O;;0.903;156.27;;;;;66;0;
533;;C8H9O2N;;1.1682;151.17;;;;;58;0;
534;;C3H6O3;;1.0694;90.079;;;;;36;0;
535;;C10H8;;1.14;128.18;;;;;48;0;
536;;alpha-Naphthol C10H8O;;1.099;144.17;;;;;54;0;
537;;beta-Naphthol C10H8O;;1.272;144.17;;;;;54;0;
538;;alpha-Naphthylamine - C10H9N;;1.1196;143.19;;;;;54;0;
539;;beta-Naphthylamine - C10H9N;;1.0614;143.19;;;;;54;0;
540;;Nitrobenzene - C6H5O2N;;1.1732;123.11;;;;;46;0;
541;;C18H34O2;;0.898;282.47;;;;;118;0;
542;;C16H32O2;;0.8527;256.43;;;;;108;0;
543;;C6H12O3;;0.9943;132.16;;;;;54;0;
544;;C14H10;;1.17;178.24;;;;;66;0;
545;;C6H6O;;1.073;94.114;;;;;36;0;
546;;C8H6O4;;1.593;166.13;;;;;62;0;
547;;C8H4O3;;1.527;148.12;;;;;54;0;
548;;gamma-Picoline C6H7N;;0.9548;93.129;;;;;36;0;
549;;C6H3O7N3;;1.763;229.11;;;;;84;0;
550;;C6H2O6N3Cl;;1.797;247.55;;;;;84;0;
551;;C6H6O2;;1.344;110.11;;;;;42;0;
552;;C12H10O4;;1.401;218.21;;;;;82;0;
553;;Resorcinol - C6H6O2;;1.285;110.11;;;;;42;0;
554;;C7H6O3;;1.443;138.12;;;;;52;0;
555;;C18H36O2;;0.9408;284.49;;;;;120;0;
556;;C4H6O4;;1.564;118.09;;;;;46;0;
112;;CuCl2;;3.05;134.446;;15;;10;;0;
557;;C4H4O3;;1.234;100.07;;;;;38;0;
558;;C12H22O11;;1.588;342.3;;;;;136;0;
559;;Tartaric acid (meso) C4H6O6;;1.666;150.09;;;;;58;0;
560;;Tartaric acid (+) C4H6O6;;1.7598;150.09;;;;;58;0;
561;;Tartaric acid (-) C4H6O6;;1.7598;150.09;;;;;58;0;
562;;CH4N2S;;1.405;76.12;;;;;36;0;
563;;C10H14O;;0.969;150.22;;;;;60;0;
564;;C7H5O6N3;;1.654;227.13;;;;;84;0;
565;;Urea CH4ON2;;1.335;60.056;;;;;24;0;
113;;Cu2O;;6;143.0794;;8;;20;;2.2;
114;;CuO;;6.3;79.5394;;7;;10;;0;
115;;GeO2;;4.7;104.589;;16;;;;0;
116;;GeS;;3.5;104.654;;10;;;;0;
117;;In2O3;;7.18;277.638;;24;;;;0;
118;;In2S3;;4.9;325.832;;24;;;;0;
119;;Fe2O3;;5.24;159.6922;;22;;12;;0;
120;;Fe3O4;;5.18;231.5386;;30;;18;;0;
121;;FeO;;5.7;71.8464;;8;;6;;0;
122;;FeP;;6.07;86.8208;;7;;6;;0;
123;;FeS;;4.84;87.911;;8;;6;;0;
124;;PbCl2;;5.9;278.096;;18;;;;0;
125;;PbO;;9.53;223.189;;10;;;;0;
126;;Pb3O4;;9.1;685.568;;36;;;;0;
